Turn 9: first=40.20687498268671 ms; landing=329.20304164872505 ms; target=120 Hz; OS presentation gaps=[0.01667337500839494, 0.01667337500839494, 0.01667345833266154, 0.01667337497929111, 0.016673541686031967, 0.01667337497929111, 0.01667337500839494, 0.01667345833266154, 0.016673333331709728, 0.012504874990554526, 0.008336750004673377, 0.008336666680406779, 0.008337000006577, 0.008336291648447514, 0.008336750004673377, 0.008336750004673377, 0.008336666651302949, 0.008336666680406779, 0.00833679165225476, 0.008336541679454967, 0.008336750004673377, 0.008336666651302949, 0.008336750004673377, 0.008336625003721565, 0.00833679168135859]; callback delays=[0.00046812501386739314, 0.000620041653746739, 0.0006092916592024267, 0.0005249583336990327, 0.0005868333391845226, 0.0005276666488498449, 0.0005645416676998138, 0.0005198333237785846, 0.0006348750030156225, 0.0006171250133775175, 0.004860000015469268, 0.0051535833335947245, 0.00434645832865499, 0.005229333328315988, 0.004349124996224418, 0.005207541660638526, 0.004014749982161447, 0.003718375024618581, 0.0038659999845549464, 0.0051267916860524565, 0.0036610416718758643, 0.00381970833404921, 0.0036158750008326024, 0.003650958329671994, 0.0005055416550021619, 0.0004504583193920553] s; unpresented progress=[0.9649042530451821]

Command execution=19.08662499045022 ms
start=228.59800001606345ms; CPU=4.046458314405754ms; GPU queue=0.22008331143297255ms; GPU=3.7137083418201655ms; target=244.81954166549258ms
start=236.9531666918192ms; CPU=3.1595833133906126ms; GPU queue=0.15999996685422957ms; GPU=3.727000002982095ms; target=253.15620834589936ms
start=245.13291666517034ms; CPU=4.316791688324884ms; GPU queue=0.23416662588715553ms; GPU=3.185666661011055ms; target=261.4928749972023ms
start=253.52879168349318ms; CPU=3.1452499970328063ms; GPU queue=0.16449997201561928ms; GPU=3.2987083250191063ms; target=269.8295416776091ms
start=262.01770835905336ms; CPU=3.167499991832301ms; GPU queue=0.15354162314906716ms; GPU=3.2793749996926636ms; target=278.16620832891203ms
start=270.2861250145361ms; CPU=3.17145831650123ms; GPU queue=0.15179163892753422ms; GPU=3.0504166788887233ms; target=286.5028750093188ms
start=278.71541667263955ms; CPU=4.237749992171302ms; GPU queue=0.18758332589641213ms; GPU=3.1657916551921517ms; target=294.8395416897256ms
start=286.9687500060536ms; CPU=3.121500019915402ms; GPU queue=0.18649996491149068ms; GPU=3.1254999921657145ms; target=303.17620834102854ms
start=295.22316667134874ms; CPU=3.194958349922672ms; GPU queue=0.1507499546278268ms; GPU=3.1282500131055713ms; target=311.5128750214353ms
start=303.76975002582185ms; CPU=3.19912499981001ms; GPU queue=0.16254163347184658ms; GPU=3.1643333204556257ms; target=319.84954167273827ms
start=311.9341249985155ms; CPU=3.168291674228385ms; GPU queue=0.1544583064969629ms; GPU=3.1754166702739894ms; target=328.18620835314505ms

Turn 6: first=46.08016667771153 ms; landing=322.7523750101682 ms; target=120 Hz; OS presentation gaps=[0.008336708327988163, 0.008336750004673377, 0.008336583327036351, 0.008336708357091993, 0.008336624974617735, 0.008336750004673377, 0.008336708327988163, 0.008336708357091993, 0.008336708327988163, 0.008336666651302949, 0.008336708327988163, 0.008336666680406779, 0.008336750004673377, 0.008336625003721565, 0.008336750004673377, 0.008336708327988163, 0.008336625003721565, 0.00833679165225476, 0.008336666680406779, 0.008336666651302949, 0.008336708327988163, 0.008336708357091993, 0.008336708327988163, 0.008336625003721565, 0.00833679165225476, 0.008336583327036351, 0.008336708357091993, 0.008336708327988163, 0.008336708327988163, 0.008336666651302949, 0.008336750004673377, 0.008336583327036351, 0.008336708357091993]; callback delays=[0.0036940416612196714, 0.0035202916769776493, 0.004861541674472392, 0.00370850000763312, 0.003486958332359791, 0.004380583355668932, 0.0035275833506602794, 0.0038215000240597874, 0.002829208329785615, 0.0036737500049639493, 0.002822083333740011, 0.003672875027405098, 0.002705999999307096, 0.003192958334693685, 0.002855458325939253, 0.002978666656417772, 0.002896624995628372, 0.0028676249785348773, 0.002386750013101846, 0.00211891665821895, 0.0024930833315011114, 0.0018972916877828538, 0.0016027083329390734, 0.002065958338789642, 0.0016465416410937905, 0.0013568750000558794, 0.001179958344437182, 0.001239708304638043, 0.0016880416660569608, 0.0011788749834522605, 0.0014063333510421216, 0.0014342500071506947, 0.0005712916899938136, 0.0004526666598394513] s; unpresented progress=[0.03839199431446518]

Command execution=12.363166693830863 ms
start=22.269500012043864ms; CPU=5.3681666613556445ms; GPU queue=0.8579166315030307ms; GPU=3.4932916751131415ms; target=37.74325002450496ms
start=30.810041673248634ms; CPU=3.223208332201466ms; GPU queue=0.5892082990612835ms; GPU=3.5105000133626163ms; target=46.07991667580791ms
start=39.032208354910836ms; CPU=3.1302083225455135ms; GPU queue=0.6137916352599859ms; GPU=3.500791674014181ms; target=54.41658335621469ms
start=46.58320834278129ms; CPU=3.113500017207116ms; GPU queue=0.15637496835552156ms; GPU=3.7212499883025885ms; target=62.753250007517636ms
